step,type,amount,nameOrig,nameDest,isFraud,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
492,PAYMENT,48058.34,C24629045337,C36631006341,0,49942.33,1883.99,283269.38,331327.72
414,PAYMENT,62071.2,C71049040801,C11604641365,0,199973.21,137902.01,273232.58,335303.78
386,PAYMENT,7923.57,C95613472848,C43594852641,0,164488.99,156565.42,169017.28,176940.85
192,TRANSFER,49735.63,C91092933907,C40978363019,0,143009.46,93273.83,275426.81,325162.44
277,PAYMENT,69816.07,C75279839799,C49384223392,0,192687.48,122871.41,80408.18,150224.25
161,CASH_OUT,58407.61,C88821874996,C82529656539,0,137438.88,79031.27,43157.38,101564.99
460,CASH_OUT,44856.04,C81993596412,C59711295958,0,138328.88,93472.84,142979.36,187835.4
314,CASH_OUT,22343.51,C23780428561,M13301051752,0,179635.77,157292.26,9266.06,31609.57
22,PAYMENT,30967.71,C25425653620,C48307446053,0,60391.31,29423.6,23177.8,54145.51
253,TRANSFER,70062.74,C21595526685,C35616467269,0,351.69,0,180412.28,250475.02
561,CASH_OUT,22419.85,C98934597555,C19216734815,0,142989.37,120569.52,211205.73,233625.58
475,CASH_OUT,62173.04,C44568713357,M17709718563,0,31222.68,0,41609.82,103782.86
59,PAYMENT,58974.17,C98696245623,C18973950839,0,57448.04,0,102402.72,161376.89
511,PAYMENT,97041.78,C14727858649,C68396096092,0,164500.92,67459.14,242340.33,339382.11
682,PAYMENT,6079.12,C64316697694,C61166682496,0,155583.01,149503.89,60285,66364.12
476,TRANSFER,10813.15,C77494454853,C36341166786,1,94954.81,84141.66,267176.43,277989.58
700,TRANSFER,50608.84,C78126921347,C38504051230,0,20867.44,0,168472.3,219081.14
190,CASH_OUT,52711.46,C56634409372,M13411208549,0,59661.96,6950.5,178001.32,230712.78
687,PAYMENT,3993.73,C30325777745,C27729837514,0,95105.7,91111.97,45010.01,49003.74
563,PAYMENT,82585.72,C20215370599,C59741775891,1,153635.76,71050.04,18494.37,101080.09
567,PAYMENT,49472.86,C54361129172,C38151066047,0,196942.59,147469.73,108821.74,158294.6
244,PAYMENT,34665.03,C99623519576,C98572117567,0,125116.56,90451.53,28444.62,63109.65
505,PAYMENT,31886.06,C57678276526,C87430333692,1,10672.49,0,29934.43,61820.49
131,TRANSFER,86140.86,C31092571602,M64815994524,0,44226.32,0,284673.17,370814.03
485,TRANSFER,19674.09,C87877616264,M85549183947,0,51907.06,32232.97,20399.49,40073.58
647,TRANSFER,16042.61,C86889599644,C23335836164,1,126887.3,110844.69,131822.79,147865.4
21,PAYMENT,21318.64,C21810456662,M37824816696,0,3685.02,0,226812.74,248131.38
167,PAYMENT,62502.63,C96692599652,M59663315977,0,101311.7,38809.07,85380.98,147883.61
274,PAYMENT,81093.27,C28503865859,C97267586188,0,199143.9,118050.63,149344.61,230437.88
388,CASH_OUT,33098.54,C78403622412,C33156772766,0,153735.3,120636.76,108007.2,141105.74
601,PAYMENT,17347.03,C41713830071,C57171801763,0,153874.08,136527.05,214009.14,231356.17
316,CASH_OUT,20920.21,C98919017263,C96368562859,0,149076.85,128156.64,182941.01,203861.22
14,PAYMENT,61918.76,C14949408925,C34649514637,0,136679.59,74760.83,92662.95,154581.71
242,CASH_OUT,24604.28,C43770080514,M42841283694,0,59673.47,35069.19,189499.64,214103.92
346,CASH_OUT,87728.15,C47505465949,M88889625942,0,156581.28,68853.13,925.99,88654.14
565,PAYMENT,10390.03,C54210410516,C54612835738,0,129177.18,118787.15,201304.92,211694.95
340,TRANSFER,3237.82,C13493752192,C41965463331,0,45780.62,42542.8,234517.16,237754.98
92,PAYMENT,8838.74,C78717367017,C50809744903,0,195799.97,186961.23,2064.99,10903.73
367,CASH_OUT,84564.47,C16893528143,M60766371036,0,196904.89,112340.42,198200.21,282764.68
455,PAYMENT,65123.3,C87595717148,C85779261147,0,74782.44,9659.14,164926.94,230050.24
428,PAYMENT,95774.51,C46032418434,C68433388522,0,150636.66,54862.15,84863.29,180637.8
509,TRANSFER,33630.32,C55825802631,M14638366408,1,136273.41,102643.09,59391.45,93021.77
35,CASH_OUT,21268.6,C12099821703,C30774787700,0,116782.07,95513.47,287232.74,308501.34
206,PAYMENT,56197.96,C80009125886,M55396396147,0,36170.42,0,144481.33,200679.29
81,TRANSFER,53783.29,C54189408742,C61919797465,0,93569.44,39786.15,137384.54,191167.83
562,PAYMENT,59102.81,C68137575684,C39626068958,0,145986.32,86883.51,253982.09,313084.9
388,PAYMENT,34754.04,C85896186845,C66696322007,1,197667.7,162913.66,114814.17,149568.21
2,TRANSFER,590.69,C28871057223,M28200045486,0,122723.1,122132.41,241709.13,242299.82
390,PAYMENT,3504.13,C73453666805,C15725027675,0,150437.23,146933.1,170260.75,173764.88
566,PAYMENT,66382.98,C12586429829,C96290894935,0,182778.32,116395.34,63236.83,129619.81
106,CASH_OUT,52326.28,C58948220998,C64514758256,0,122756.36,70430.08,105226.53,157552.81
477,PAYMENT,82101.3,C61858410587,C68439341144,0,152904.16,70802.86,6902.49,89003.79
703,TRANSFER,30041.69,C38984749416,M99435458267,0,91612.44,61570.75,131978.91,162020.6
402,PAYMENT,81547.41,C10272753908,M87649566206,0,58378.29,0,280992.41,362539.82
730,PAYMENT,42549.72,C97886405535,C79733375604,0,98607.9,56058.18,189586.82,232136.54
556,PAYMENT,9670.74,C94667717460,M90175928632,0,17791.84,8121.1,173375.59,183046.33
162,TRANSFER,97791.18,C88895408861,M98866663689,0,185999.44,88208.26,260898.33,358689.51
202,TRANSFER,51194.08,C85367014363,M22794479742,0,62085.76,10891.68,36659.88,87853.96
270,PAYMENT,62948.22,C29816115642,C41917744093,0,92206.52,29258.3,238923.63,301871.85
271,PAYMENT,67080.05,C21695351838,C72296681883,0,130675.75,63595.7,209271.92,276351.97
456,CASH_OUT,36241.86,C16702462201,M79249924659,0,100898.91,64657.05,158839.68,195081.54
462,PAYMENT,74753.08,C33379260242,M71855647576,0,56556.04,0,115541.93,190295.01
727,CASH_OUT,87026.78,C79669712242,M26558256501,0,196858.35,109831.57,10638.38,97665.16
252,PAYMENT,38719.31,C63197162288,C65356862026,0,169658.76,130939.45,185406.22,224125.53
702,TRANSFER,65700.43,C53073695610,C84307901346,0,20557.51,0,170791.66,236492.09
296,PAYMENT,75712.63,C94176419517,C98469614896,0,73477.78,0,85417.51,161130.14
725,CASH_OUT,19013.4,C65694453847,C39170828273,0,38858.6,19845.2,82366.8,101380.2
720,TRANSFER,33260.28,C56716430419,C50683871204,0,95734.49,62474.21,107285.44,140545.72
338,PAYMENT,10880.48,C88515188841,C80412286584,0,41759.18,30878.7,130017.79,140898.27
53,PAYMENT,60221.24,C96141643781,C52436050804,0,62454.69,2233.45,221430.09,281651.33
217,TRANSFER,80093.97,C36803836124,M52598690476,1,104179.72,24085.75,153695.79,233789.76
188,TRANSFER,61084.25,C99227326550,C62771090330,0,28816.97,0,45072.67,106156.92
380,PAYMENT,17979.2,C92134008260,M49711583956,0,172188.96,154209.76,267422.41,285401.61
493,PAYMENT,54637.3,C52193139373,C22442148208,0,72530.07,17892.77,143765.09,198402.39
41,CASH_OUT,83493.58,C56307597424,M87717335557,0,182859.96,99366.38,269183.09,352676.67
157,PAYMENT,30273.18,C38989335709,C77118592803,1,6018.05,0,183901.19,214174.37
15,TRANSFER,83265.32,C53467586796,C86284810022,0,154340.11,71074.79,170750.7,254016.02
65,PAYMENT,78462.54,C33382849569,M86942938406,0,172990.26,94527.72,100261.63,178724.17
521,CASH_OUT,2175.06,C76417972134,C28470693746,0,196914.04,194738.98,291376.01,293551.07
344,CASH_OUT,23946.24,C10258976252,C59069230988,0,26373.99,2427.75,294983.81,318930.05
129,CASH_OUT,54294.7,C15475935464,M36316554113,0,86749.79,32455.09,108853.01,163147.71
648,PAYMENT,71762.02,C86826136820,C66033504600,0,152061.76,80299.74,236866.04,308628.06
472,CASH_OUT,88053.17,C94385104081,C93038051965,0,102711.74,14658.57,80980.78,169033.95
63,PAYMENT,64104.59,C85421241769,C57685993406,0,164158.11,100053.52,184139.04,248243.63
139,TRANSFER,38035.04,C42240813012,C79091187343,0,196780.7,158745.66,201260.67,239295.71
499,TRANSFER,18463.54,C42856985249,M49718699362,0,151329.28,132865.74,295322.41,313785.95
593,PAYMENT,76003.83,C86256609802,M31738868834,0,148437.72,72433.89,86468.27,162472.1
392,CASH_OUT,20678.95,C55330737138,C35972771930,0,113579.16,92900.21,211780.6,232459.55
675,PAYMENT,69543.36,C56979578121,M59238298493,0,92632.3,23088.94,73643.76,143187.12
419,TRANSFER,18121.98,C44260241902,C97737774145,0,167004.54,148882.56,10835.62,28957.6
289,TRANSFER,9106.29,C44339733778,C30303008571,0,46575.45,37469.16,85505.49,94611.78
379,TRANSFER,25110.77,C12875012918,C65998070011,0,172290.34,147179.57,235924.59,261035.36
490,PAYMENT,28493.7,C95609953026,C86766117649,1,167470.81,138977.11,281074.4,309568.1
231,PAYMENT,64721.27,C97636572971,C62097939071,0,147437.6,82716.33,7838.8,72560.07
41,CASH_OUT,16089.18,C76170839528,C87436530647,0,139176.89,123087.71,33619.89,49709.07
28,PAYMENT,93030.76,C11434331644,C19770734701,0,1616.35,0,110946.78,203977.54
135,PAYMENT,55436.61,C33528999333,M32596931088,0,198083.94,142647.33,135754.41,191191.02
201,PAYMENT,49093.68,C59673012674,C65692085517,0,78382.47,29288.79,278441.39,327535.07
33,PAYMENT,43470.02,C55543225733,C98935461675,0,75964.77,32494.75,6252.78,49722.8
48,CASH_OUT,56660.57,C69853485503,C90793935529,0,197674.54,141013.97,254700.65,311361.22
503,PAYMENT,2245.67,C85855534927,M22719760447,0,48377.83,46132.16,154338.25,156583.92
407,TRANSFER,99008.65,C12499148453,M86792486285,1,190626.35,91617.7,64423.77,163432.42
574,PAYMENT,55752.88,C79851903352,M28886117520,0,77038.32,21285.44,58833.44,114586.32
728,PAYMENT,3520.47,C62441025292,C21489596062,1,19637.05,16116.58,14995.07,18515.54
99,PAYMENT,58998.17,C48338252677,M57713242128,0,104614.53,45616.36,73848.42,132846.59
684,PAYMENT,43708.44,C34453314168,C16512594511,0,141246.04,97537.6,292374.58,336083.02
726,PAYMENT,2404.75,C67452477261,C53598793958,0,121810.67,119405.92,239390.92,241795.67
547,TRANSFER,92442.95,C25271577377,M35216592228,0,190434.14,97991.19,288718.77,381161.72
739,PAYMENT,1057.68,C14812795838,C85506853942,0,76744,75686.32,46569.68,47627.36
613,PAYMENT,57787.59,C50610495053,M89644758601,0,88400.91,30613.32,164746.87,222534.46
462,PAYMENT,96179.11,C81445430716,M92959098550,0,49186.23,0,279633.98,375813.09
643,PAYMENT,23761.21,C55750718044,C29279971157,0,115568.05,91806.84,198044.04,221805.25
5,CASH_OUT,25418.65,C39565374408,C65815388229,0,187929.34,162510.69,6008.03,31426.68
218,TRANSFER,43.31,C68223881750,C34969795221,0,69122.92,69079.61,20902.48,20945.79
503,PAYMENT,6636.05,C25577536653,C24917541007,0,22991.74,16355.69,126556.37,133192.42
398,PAYMENT,4489.8,C91904326071,C49895109536,0,73224.25,68734.45,115302.8,119792.6
393,CASH_OUT,82265.81,C92176741968,C62363678496,0,176639.86,94374.05,266907.87,349173.68
207,PAYMENT,83673.92,C89008985181,C40531410649,0,180034.52,96360.6,234077.28,317751.2
15,CASH_OUT,72670.28,C82150341816,C81695429967,0,24392.22,0,39645.8,112316.08
554,PAYMENT,35275.15,C69623986014,M95618739990,1,152906,117630.85,26849.45,62124.6
461,CASH_OUT,82125.62,C65715740313,M84719900835,1,28328.34,0,260077.12,342202.74
691,CASH_OUT,53977.91,C66468663161,C41580135157,0,176884.62,122906.71,134927.56,188905.47
575,TRANSFER,30431.72,C76120281727,M94919630057,0,95040.84,64609.12,50790.83,81222.55
743,PAYMENT,43728.24,C98755417691,M11092912324,0,179753.24,136025,269576.9,313305.14
241,PAYMENT,6577.71,C71441606365,C99910945805,0,14899.36,8321.65,216110.9,222688.61
564,PAYMENT,94490.92,C61455333706,M92273647860,0,15279.22,0,49179.38,143670.3
96,PAYMENT,61912.02,C29429043163,M77443505064,0,187066.94,125154.92,181882.51,243794.53
734,PAYMENT,73123.68,C41965342361,C68936290157,0,154468.35,81344.67,140785.34,213909.02
485,PAYMENT,67658.66,C32348660684,C62064072213,0,29107.39,0,76876.45,144535.11
407,TRANSFER,66775.33,C39651345895,C43139635779,0,178098.63,111323.3,177321.5,244096.83
231,TRANSFER,1727.08,C60485343420,C45692856818,1,170757.04,169029.96,132061.11,133788.19
655,PAYMENT,52537.6,C17219743062,C98767702810,0,107556.88,55019.28,168495.5,221033.1
171,PAYMENT,82171.2,C48439635052,C66573004394,0,33012.46,0,87909.74,170080.94
541,CASH_OUT,4452.84,C79940941100,C57234041501,0,84487.27,80034.43,217563.91,222016.75
36,PAYMENT,95616.61,C74773086462,C81660070019,0,110052.98,14436.37,127989.88,223606.49
525,TRANSFER,42416.54,C40057971980,C69897552199,0,41911.68,0,243936.62,286353.16
160,PAYMENT,28990.26,C68318923252,C13551788448,0,171692.03,142701.77,182427.04,211417.3
699,PAYMENT,53182.6,C78972061149,C26451108566,0,166710.36,113527.76,73035.57,126218.17
243,PAYMENT,80121.62,C77776594158,M12421435104,0,4661.07,0,102242.73,182364.35
86,PAYMENT,47476.03,C16614309722,M93088750668,0,3929.66,0,85989.38,133465.41
578,CASH_OUT,64510.92,C20528387400,C99573377264,1,87368.13,22857.21,107791.05,172301.97
682,TRANSFER,49991.94,C35333707196,M93852573900,0,184841.16,134849.22,51449.39,101441.33
557,PAYMENT,63127.59,C37433513401,M98266305022,0,153623.87,90496.28,142680.71,205808.3
574,CASH_OUT,13803.95,C21074578135,M48379709106,0,191693.29,177889.34,14732.33,28536.28
646,PAYMENT,3867.3,C71798181301,C80028143021,0,56792.47,52925.17,104386.16,108253.46
28,CASH_OUT,13691,C34799857930,C20809681997,0,193632.81,179941.81,128072.75,141763.75
620,CASH_OUT,28584.53,C76302333413,C85428358500,0,106301.4,77716.87,229206.56,257791.09
556,PAYMENT,25336.35,C55951565756,C17898148616,0,122202.99,96866.64,258729.38,284065.73
340,PAYMENT,61517.92,C41812892508,C18385702293,0,45780.1,0,231879.53,293397.45
331,PAYMENT,45589.49,C89940748372,M84263977293,0,92275.92,46686.43,24581.78,70171.27
640,TRANSFER,3882.16,C44836591180,C98250093531,0,151245.4,147363.24,198564.76,202446.92
506,TRANSFER,3487.56,C46896652025,C99499022294,0,70219.75,66732.19,255699.9,259187.46
348,CASH_OUT,9059.71,C99028954923,M59475404349,0,13933.35,4873.64,158670.93,167730.64
473,TRANSFER,35308.76,C66138545444,C57379084852,1,167550.64,132241.88,280648.43,315957.19
231,PAYMENT,619.29,C31571969132,M35718730835,0,6678.91,6059.62,265091.04,265710.33
190,PAYMENT,49399.23,C63533313623,C45780197936,0,19258.35,0,263434.13,312833.36
225,TRANSFER,36067.61,C34872957421,C94124384469,0,127420.14,91352.53,289215.56,325283.17
385,PAYMENT,55544.57,C53639957596,C61257299215,0,133700.39,78155.82,229609.82,285154.39
377,TRANSFER,72082.8,C65132937279,M59865434947,0,109968.59,37885.79,205771.06,277853.86
283,PAYMENT,25098.03,C60064618109,C20102649630,0,15551.84,0,225832.52,250930.55
633,PAYMENT,15709.21,C75851182821,C95191635904,0,155370.75,139661.54,107387.33,123096.54
628,PAYMENT,27806.08,C46575193296,C17007150606,0,119641.44,91835.36,2503.59,30309.67
259,TRANSFER,177.32,C75354099161,C29575914438,0,134094.94,133917.62,13179.05,13356.37
359,PAYMENT,12002.18,C59926789585,C51240236097,0,580.18,0,255804.49,267806.67
710,TRANSFER,75083.29,C44952506562,C27761448222,0,17579.5,0,123003.5,198086.79
456,PAYMENT,22281.46,C48841631594,M17046941641,0,144185.77,121904.31,108724.05,131005.51
411,TRANSFER,99429.97,C14352777351,C83908317444,1,135554.86,36124.89,183813.69,283243.66
649,TRANSFER,16783.98,C92998923818,C27776162676,0,39670.83,22886.85,41992.73,58776.71
318,PAYMENT,78877.38,C83332045235,C78099860708,0,100974.38,22097,163184.7,242062.08
677,TRANSFER,70504.74,C39221969438,C82539060904,0,62481.02,0,250701.18,321205.92
225,PAYMENT,32213.89,C70118029631,C18572605714,0,124980.59,92766.7,127633.78,159847.67
234,PAYMENT,33074.58,C36033101664,M17469434570,0,159497.72,126423.14,155396.25,188470.83
684,PAYMENT,56355.59,C19165421057,M32570717194,0,37606.98,0,49343.6,105699.19
664,TRANSFER,85237.56,C19976876447,C62987253790,0,129861.06,44623.5,221076.84,306314.4
374,CASH_OUT,38619.31,C24575822829,C58127389352,0,86877.49,48258.18,168581.41,207200.72
672,TRANSFER,6118.93,C29311365486,C72329620993,0,38550.89,32431.96,165566.9,171685.83
608,TRANSFER,37442.54,C75479281959,C92454430082,0,79305.27,41862.73,67687.59,105130.13
472,TRANSFER,20732.06,C32036807622,C51630690905,1,20845.63,113.57,275191.58,295923.64
233,PAYMENT,93920.76,C11820821676,C64930577108,0,131532.5,37611.74,103323.65,197244.41
692,CASH_OUT,69727.74,C51617300012,M96481956171,0,199639.5,129911.76,288360.09,358087.83
113,PAYMENT,5084.22,C32162358341,C62457224123,0,146653.14,141568.92,102512.98,107597.2
497,CASH_OUT,29299.56,C99796326218,M92895783803,0,170397.57,141098.01,270093.49,299393.05
442,TRANSFER,5022.55,C45846574134,C71322834327,0,45153.31,40130.76,167556.02,172578.57
564,TRANSFER,83001.84,C33217331442,M84029778616,0,21237.56,0,19226.74,102228.58
268,TRANSFER,90629.73,C66345945440,M66125325482,0,429.31,0,286297.13,376926.86
510,PAYMENT,11228.85,C77008162696,C69450863112,1,145918.48,134689.63,99773.82,111002.67
386,TRANSFER,44029.56,C88046320105,C29509141742,0,164627.83,120598.27,244196.91,288226.47
387,PAYMENT,93188.4,C76973365272,M89854014783,1,37817.66,0,169711.3,262899.7
113,TRANSFER,14522.02,C21933984434,C78145650140,0,95656.83,81134.81,73275.53,87797.55
613,TRANSFER,29191.07,C62881343661,C88859653878,0,117005.35,87814.28,42079.06,71270.13
625,CASH_OUT,30428.16,C35880873249,C61335358900,0,191637.74,161209.58,70341.72,100769.88
81,TRANSFER,3006.8,C82967613324,C58443833062,0,182788.8,179782,163490.03,166496.83
699,PAYMENT,3628.29,C15609886820,C85039413074,0,3147.67,0,152428.94,156057.23
113,PAYMENT,95279.33,C56904745511,C40508404757,1,9844.92,0,80983.97,176263.3
2,TRANSFER,57109.69,C77762274783,C54960746049,0,191780.24,134670.55,47138.91,104248.6
642,PAYMENT,30665.53,C20288741865,C30014135802,0,11619.9,0,105199.48,135865.01
220,PAYMENT,37868.09,C13484347400,C79203024864,0,116400.39,78532.3,47691.49,85559.58
566,CASH_OUT,71484.58,C76629555016,C74050339718,0,15855,0,151855.33,223339.91
736,TRANSFER,36652.35,C14063923343,C74793150508,0,133374.28,96721.93,130052.01,166704.36
225,TRANSFER,22776.81,C68401605933,M61864414930,0,36841.89,14065.08,134650.33,157427.14
385,PAYMENT,10184.63,C52424260000,C80819223306,0,6829.93,0,78370.15,88554.78
403,TRANSFER,72893.57,C31817445160,C68704761369,1,55766.22,0,28006.69,100900.26
638,PAYMENT,18057.32,C89688365333,M81483430177,0,106268.41,88211.09,175875.91,193933.23
130,TRANSFER,6965.76,C77964807506,M72024946379,0,107000.08,100034.32,292198.89,299164.65
53,PAYMENT,42696.02,C57185905341,C37183320453,0,152708.39,110012.37,200652.73,243348.75
684,CASH_OUT,3958.06,C99010308426,C91941357464,0,12095.98,8137.92,266393.12,270351.18
730,PAYMENT,96499.84,C67030011878,C89617046523,0,1636.59,0,28911.67,125411.51
672,PAYMENT,62729.67,C60275885459,C48550955868,0,142841.45,80111.78,18233.01,80962.68
710,TRANSFER,15270.53,C94610709750,M68283072608,0,190848.08,175577.55,229822.53,245093.06
416,TRANSFER,17246.24,C30848889792,M95406863520,0,38541.82,21295.58,136404.86,153651.1
247,PAYMENT,56983.28,C53324967470,C82181308121,0,29981.2,0,248073.17,305056.45
439,TRANSFER,35657.22,C49120365372,C98639794372,0,68591,32933.78,144234.9,179892.12
203,PAYMENT,77426.9,C72880971739,C75208145734,1,140446.6,63019.7,22395.23,99822.13
184,CASH_OUT,54581.1,C65636495662,C21619631533,0,152359.83,97778.73,136130.14,190711.24
123,CASH_OUT,43333.95,C16295729013,C76500593173,0,187338,144004.05,199822.73,243156.68
401,PAYMENT,96298.06,C65665192939,C12654964518,0,160384.94,64086.88,154964.69,251262.75
294,CASH_OUT,39073.51,C26762869694,C83656967208,1,5551.72,0,65138.62,104212.13
280,PAYMENT,40061.69,C73987791980,C20872866583,0,41275.48,1213.79,277237.95,317299.64
610,PAYMENT,66577.58,C17816365395,M43130464295,0,71105.99,4528.41,199619.83,266197.41
198,CASH_OUT,80948.05,C77409421325,M73895908489,0,189382.32,108434.27,157946.91,238894.96
511,TRANSFER,62621.87,C96004178241,M84381095809,0,121122,58500.13,142474.07,205095.94
144,PAYMENT,69861.32,C79287501583,M98718034482,0,199263.48,129402.16,183758.79,253620.11
609,PAYMENT,37293.78,C23461424170,C46140684122,0,63524.28,26230.5,139374.96,176668.74
201,PAYMENT,47950.2,C61640712293,C26894898580,0,184276.63,136326.43,92530.56,140480.76
124,CASH_OUT,19704.31,C79220707008,C10467337258,0,139726.87,120022.56,116575.92,136280.23
187,PAYMENT,68024.97,C48310019220,C18467060566,0,177412.94,109387.97,57710.85,125735.82
326,PAYMENT,22145.97,C85865461738,M72209114963,0,184524.97,162379,228406.61,250552.58
464,PAYMENT,126.68,C17702422611,C11104720885,1,90604.96,90478.28,241854.84,241981.52
349,PAYMENT,93376.28,C55047203905,C37622435250,1,174390.65,81014.37,220341.79,313718.07
660,PAYMENT,30602.22,C23495332862,C97960047210,0,196647.82,166045.6,138964.77,169566.99
403,PAYMENT,19664.01,C32929378438,C17995867318,0,133423.4,113759.39,64456.13,84120.14
346,PAYMENT,26815.4,C25032691579,C80479200415,0,51809.11,24993.71,288783.43,315598.83
511,PAYMENT,33045.44,C99405124627,M10870687457,0,53864.56,20819.12,231229.01,264274.45
147,CASH_OUT,47455.17,C19263288160,C97668050987,1,150479.46,103024.29,232777.67,280232.84
148,PAYMENT,6936.1,C91506674106,C89952106935,1,65729.9,58793.8,187338.96,194275.06
711,TRANSFER,5268.26,C96200921004,C90072557776,0,82209.35,76941.09,84648.29,89916.55
489,TRANSFER,29291.78,C68128125662,C86235596038,0,105304.41,76012.63,54896.74,84188.52
640,CASH_OUT,29577.32,C78486233757,C36253041949,0,182336.97,152759.65,33576.09,63153.41
551,CASH_OUT,11765.51,C79337887529,M76949241134,0,142264.18,130498.67,186997.26,198762.77
338,PAYMENT,40479.75,C64959927221,M47135448214,0,58197.31,17717.56,53750.35,94230.1
641,PAYMENT,28403.58,C68240850565,C73123242233,0,26735.22,0,112520.18,140923.76
473,PAYMENT,2606.53,C75232020264,M15492462116,0,57960.16,55353.63,245902.84,248509.37
151,PAYMENT,88572.19,C93696217967,C33667633317,0,66704.14,0,86967.79,175539.98
415,TRANSFER,88602.02,C99856190708,C86959854882,0,146524.14,57922.12,79706.59,168308.61
298,TRANSFER,20919.02,C77523288068,C51166424661,0,85049.08,64130.06,215200.31,236119.33
611,CASH_OUT,16288.06,C10809531657,M52777443478,0,199587.3,183299.24,156211.74,172499.8
263,PAYMENT,54729.73,C54047647982,C55247450674,0,6898.78,0,168706.9,223436.63
144,CASH_OUT,63075.72,C19793471006,C83855037603,0,70850.29,7774.57,38669.75,101745.47
346,PAYMENT,95754.3,C55989616136,M94781531101,0,17186.44,0,85724.22,181478.52
624,PAYMENT,37735.47,C17449173547,M33126565395,0,71344.64,33609.17,110825.02,148560.49
572,PAYMENT,61820.42,C92311695069,C72333721957,0,86742.81,24922.39,290991.5,352811.92
2,TRANSFER,87818.23,C77647585399,M71974024415,1,178229.2,90410.97,12438.4,100256.63
304,PAYMENT,44995.93,C77313682996,C43277330915,0,85072.44,40076.51,256579.52,301575.45
254,CASH_OUT,12235.45,C10051561647,M34975546195,0,5100.64,0,37564.83,49800.28
652,CASH_OUT,37745.35,C31727690541,M80762895254,0,191037.59,153292.24,296321.92,334067.27
453,CASH_OUT,13657.56,C54597668640,C38680718571,0,29051.22,15393.66,57883.37,71540.93
37,PAYMENT,1664.93,C92231890512,M70111572931,0,154742.05,153077.12,86731.33,88396.26
160,CASH_OUT,75155.55,C14979577965,C10548598577,0,40053.63,0,248833.88,323989.43
9,TRANSFER,23843.13,C44177262232,C65361358149,0,184666.7,160823.57,107402.77,131245.9
233,PAYMENT,201.7,C34133895560,M24778574671,0,45308.93,45107.23,194480.33,194682.03
99,PAYMENT,87243.36,C30296491524,C53492015861,0,171033.14,83789.78,175225.51,262468.87
659,PAYMENT,44379.44,C84228424341,C24329698826,1,82911.5,38532.06,205886.95,250266.39
208,PAYMENT,23886.75,C68364232587,M75823306556,0,89428.62,65541.87,247013.41,270900.16
131,TRANSFER,26279.73,C23027667994,C86105096853,0,125841.47,99561.74,89806.88,116086.61
404,CASH_OUT,24054.55,C71059952694,C48164396942,0,97484.23,73429.68,262146.73,286201.28
152,PAYMENT,19456.42,C70451100479,M30231960133,0,67348.66,47892.24,292519.4,311975.82
54,TRANSFER,84122.78,C22210743049,C28780506242,0,48520.88,0,201816.15,285938.93
120,CASH_OUT,17033.99,C98718984693,C24460311095,0,53246.98,36212.99,169831.28,186865.27
673,PAYMENT,56185.91,C42253183368,C94216227041,0,140713.19,84527.28,295033.16,351219.07
628,CASH_OUT,7732.95,C22550564857,M10455328187,0,21749.81,14016.86,27490.84,35223.79
587,TRANSFER,94952.19,C10232790698,C29443334006,0,112313.18,17360.99,115383.57,210335.76
